date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-02-09,1877,728,787233,1081.36401098901,3.60347681,652415.600436233249676,181051.6993948602664191212504,50.0978613303927,0.000910876132930514,0.0001877893136316423236431860518,0.001,0.000206163392411521,1.206,0.248633051248294326,31955,368.569082045001,6587.951204510153555,31955,6587.951204510153555,11.67763131,,0.0002999150080786002,0.206163392411521,,,3164556,1324,2625,270992.97082996,55868.83018598090717323596916,181.33295168451,37.38421647527301306808123971,6.34438381,1.30797968903033068987501,475998.99817184,98133.56824759191700795376864,,,
2014-02-10,581,96,285931,2978.44791666667,4.13458648,790001.402007003321304,191071.4421791656803706649392,90.3544222206819,0.00147603833865815,0.0003681664858435277346880804778,0.001,0.000249428809673212,0.462,0.115236110069023944,2686,30.9540603465097,669.965782782247432,2686,669.965782782247432,39.63652923,,0.00036388661601402663,0.249428809673212,,,3167242,313,609,79907.14782222,19931.14476567772913567237064,146.839048695731,36.62588912972299636492945797,3.22681403,0.80486038253972019676436,89424.9806557,22305.1664800012601384851084,,,
2014-02-11,2608,613,972533,1586.51386623165,3.95411558,932447.1193273652712,235816.8595296836946038397246,37.9684912018808,0.000829943802541544,0.0002418975706062335454524593026,0.001,0.000291462590437411,1.69806502,0.49492242946035411846322,31958,364.612090522631,9314.561465198780738,31958,9314.561465198780738,15.77237119,,0.0004337888438439431,0.291462590437411,,,3199200,2046,4077,202835.70316203,59119.01947679902121350670433,110.21799184804,32.12442141683918685584302444,5.36648865,1.56413068348196466688515,449358.75276446,130971.2661164536329568552131,,,
2014-02-12,3423,567,936775,1652.16049382716,3.50260508,997354.26687894555312,284746.4227596067327571084148,34.2048408875288,0.000855748413998511,0.0002641123471543748225514340006,0.001,0.000308633171658831,2.29854024,0.70940576445665060485944,32320,365.054215972669,9975.02410801341792,32320,9975.02410801341792,15.60494009,,0.0004720852339937533,0.308633171658831,,,3231520,2686,5356,207083.14046364,63912.72643836441591724040484,96.3370112089582,29.73279731755312230426133986,6.66539094,2.05716074615823691839114,515981.03203518,159248.8624328144862725496746,,,
2014-02-13,4253,575,1105067,1921.85565217391,1.98843101,571332.525908977457152,287328.3117508428425055574661,31.2471770461968,0.000981024817518248,0.0001716476025076842368874197647,0.001,0.000174967645509632,3.36001,0.58789303858881861632,33841,378.272570781607,5921.080091691456512,33841,5921.080091691456512,14.69446817,,0.0002854664523670358,0.174967645509632,,,3265361,3425,6836,222217.02487786,38880.78963503448366225354752,59.1425983575015,10.34804118393386622509770445,5.73180145,1.0028798042351946865664,404298.80237188,70739.20953337186507298594816,,,
2014-02-14,4537,565,1241232,2196.87079646018,3.87579709,1246445.853285958344116,321597.2931972168713966113775,31.3906922400137,0.00102107088621444,0.000385827522732187433874976669,0.001,0.000377865560502484,3.73303516,1.41058542310888003933744,33288,368.336249173525,12578.388778006687392,33288,12578.388778006687392,24.54312494,,0.0005649999999999997,0.377865560502484,,,3298649,3656,7293,134402.1598171,50785.9474520329239495356764,33.8650965696737,12.79645369677050085248791947,6.72913398,2.54270798304901095880632,246978.14928263,93324.53681054715158693305292,,,
2014-02-15,3929,596,1341699,2251.17281879195,3.20814723,1108331.19618052479956,345473.9191709324142653021705,38.1523260641664,0.00161750174529756,0.0005384407307416567238846763433,0.001,0.000332884172958097,5.24555816,1.74616328979519705642152,30831,337.990166632627,10263.151936471088607,30831,10263.151936471088607,22.90058887,,0.0005087039158386916,0.332884172958097,,,3329480,3243,6456,145388.40107007,48397.49764791035683207085679,36.7675531135223,12.23933650988777517444197506,5.732008005,1.908094744133616533566485,237371.3229009,79017.1565078354869121835873,,,
2014-02-16,3888,588,1117496,1900.50340136054,3.83290932,1453065.302498742654774,379102.446576843039285364165,60.2742890221297,0.000890007165890362,0.0003860290228731582290068248457,0.001,0.000433736982878082,2.48401,1.07740700283898446882,20627,224.734762203118,8946.692745826197414,20627,8946.692745826197414,24.59101196,,0.0006959274108708362,0.433736982878082,,,3350107,2791,5562,136232.98645944,59089.28451538810422635799408,46.0880608024344,19.99009643914949151450400282,4.31632262,1.87214875032721803881484,256341.79418314,111184.9163945494142033999375,,,
2014-02-17,3582,599,1756552,2932.47412353923,4.57896458,4733990.80714798762502,1033856.176154674365946757119,87.923546192297,0.00107731400076864,0.001515138200373544896642814253,0.001,0.00140640351772327,2.80317103,3.9423895973719620208681,15919,172.620027296284,22388.53759863673513,15919,22388.53759863673513,7.83772823,,0.0022276674301578083,1.40640351772327,,,3366026,2602,5141,429464.49531318,604000.3769457051539792236986,156.940397279376,220.7215268066019191056462795,4.53460084,6.3774785728468950295468,806830.58241327,1134729.369312737630812635793,,,
2014-02-18,3721,579,1354287,2339.0103626943,3.175509,3425383.56742730446254,1078688.034790540086965434274,137.541311411065,0.000930416046238244,0.0009430276820851279164512369432,0.001,0.00101355483484821,2.37442175,2.4066066446812477725675,13548,146.320808480596,13731.64090252354908,13548,13731.64090252354908,6.70937163,,0.0016158145435417823,1.01355483484821,,,3379574,2552,5040,503709.46576009,510537.1643799481097274259389,140.799633272575,142.7081490482732878156808408,3.908402885,3.96138064062644250108585,709630.15169378,719249.0712032993977007011338,,,
2014-02-19,3251,577,896757,1554.17157712305,2.97293534,3312858.440651286102069,1114339.218441918303091205286,128.911005259566,0.000856796683804627,0.0008365049390724004243940023416,0.001,0.000976316732877489,1.99976346,1.95240252779498315875194,13647,146.797246627909,13323.794453579092383,13647,13323.794453579092383,20.83304774,,0.001565764054354179,0.976316732877489,,,3393221,2334,4628,162876.84077467,159019.3850465327989129644036,41.3956182087835,40.41523472504340004192922463,3.91980191,3.82696819429814117820399,191578.92107025,187041.7063075008182940126022,,,
2014-02-20,3040,585,864623,1477.98803418803,3.16795401,3676466.5592851605332,1160517.655361795156505552574,149.80479999786,0.000950866305701965,0.001026112914736655219923396301,0.001,0.00107913479380168,1.98445798,2.1414976530553984134064,13644,146.177203969045,14723.71512663012192,13644,14723.71512663012192,19.59470616,,0.0019141450379894704,1.07913479380168,,,3406865,2087,4136,173866.60314878,187625.5009379572319148539504,66.0278019225725,71.2528984128934450602804218,4.891654365,5.2787544245233629163332,273090.98875176,294701.9878357274398481909568,,,
